sku,name,canonical_url,product_id,uid,in_stock,description_html,short_description_html,all_image_data,final_price_value,final_price_currency,regular_price_value,regular_price_currency,agegroup,article_description,article_simple,articlenumber,assortmenttype,careinstruction,color,color_description,composition,context,customergroup,descriptive_detail,descriptivelength,drycleaninstruction,fit,is_voucher,launch_date,lookbook_random,newarrivals,online_date,pattern,presentationproducttype,retire_date,rgb,sale,short_product_name,size,sleeve_style,stilllife_random,style,stylenumber,supplier_information,title_name,weight,presentationcolorgroup
1271806002,Loose Fit Sleeveless printed T-shirt,//id.hm.com/id_en/loose-fit-sleeveless-printed-t-shirt-1271806002.html,3363922,3363922,True,"Sleeveless T-shirt in heavyweight cotton jersey with a print motif, round, rib-trimmed neckline, deep armholes and a straight-cut hem. Loose fit for a generous but not oversized silhouette.",Loose Fit Sleeveless printed T-shirt,"[{""url"": ""//id.hm.com/id_en/media/catalog/producteeda301cf57173f71f4188ac69ffbd785dfa92be_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/producteeda301cf57173f71f4188ac69ffbd785dfa92be_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product8569aca9a8185911a1bf9b8fbae1214201d2c7d3_xxl-1.jpg"", ""role"": ""thumbnail""}]",299900.0,IDR,299900.0,IDR,Adult,White,no,1271806002,Clothing,"No dry clean,Machine wash at 40°,Medium iron,Only non-chlorine bleach when needed,Line dry,Do not iron on print",0.0,White,"{""shell"":{""materials"":{""cotton"":""100.0""}},""necklining"":{""materials"":{""cotton"":""95.0"",""elastane"":""5.0""}}}",Casual,Men,b27c30c679015d4a8e83ebf85641024ed7a3c91e_xxl-1.jpg,,,Loose fit,no,2025-04-14 00:00:00,eeda301cf57173f71f4188ac69ffbd785dfa92be_xxl-1.jpg|24b1d506ae5f3486693b35cd766dbe100138d62b_xxl-1.jpg|4d1f162a0e6d55001b31b83fa560208758c47851_xxl-1.jpg|6154282cdcef707088067bb04f567804efed84de_xxl-1.jpg|685372a9aeaebc823c4abb8526c5d699f005c64d_xxl-1.jpg,yes,2025-04-14 00:00:00,Solid colour,T-shirt,9999-12-31 00:00:00,#F0EFEC,no,T-shirt,0.0,0.0,8569aca9a8185911a1bf9b8fbae1214201d2c7d3_xxl-1.jpg,Crew-neck,1271806,Mainland China,Loose Fit Sleeveless printed T-shirt,0.0,
1235413016,Baggy Jeans,//id.hm.com/id_en/baggy-jeans-1235413016.html,3270191,3270191,True,5-pocket jeans in rigid cotton denim. Rounded leg and a baggy fit from the seat to the hem with plenty of room around the whole leg. Dropped crotch and stacked at the ankle. Regular waist and a zip fly. It's denim perfection.,Baggy Jeans,"[{""url"": ""//id.hm.com/id_en/media/catalog/product72d8a2c3a96148075346b66a397329913ef677b3_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product72d8a2c3a96148075346b66a397329913ef677b3_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/productc39093ffb835a463a896e042985967c886533dbc_xxl-1.jpg"", ""role"": ""thumbnail""}]",599900.0,IDR,599900.0,IDR,Adult,Denim blue,no,1235413016,Clothing,,0.0,Blue,"{""shell"":{""materials"":{""cotton"":""100.0""}},""pocketlining"":{""materials"":{""polyester"":""65.0"",""cotton"":""35.0""}}}",Casual,Men,c4bc012800e70d1b67889c64b93f64f561caa93f_xxl-1.jpg,Long,,Loose fit,no,2025-06-13 00:00:00,72d8a2c3a96148075346b66a397329913ef677b3_xxl-1.jpg|8095aa7232b73bf296d2bb9159c814834759a3f7_xxl-1.jpg|a5907a441f7a87637dd1fd5e67be08727896f19f_xxl-1.jpg|bec3276d8f382cb8bdefd9f27bfe581f32ef9cd9_xxl-1.jpg,yes,2025-06-13 00:00:00,Solid colour,Jeans,9999-12-31 00:00:00,#767F99,no,Jeans,0.0,0.0,c39093ffb835a463a896e042985967c886533dbc_xxl-1.jpg,Baggy,1235413,India,Baggy Jeans,0.0,
1271804002,Loose Fit Printed T-shirt,//id.hm.com/id_en/loose-fit-printed-t-shirt-1271804002.html,3400329,3400329,True,"T-shirt in heavyweight cotton jersey with a print motif, rib-trimmed neckline, dropped shoulders and a straight-cut hem. Loose fit for a generous but not oversized silhouette.",Loose Fit Printed T-shirt,"[{""url"": ""//id.hm.com/id_en/media/catalog/product0ebf64695eecd5ea42fbd8a359d9be3930e38988_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product0ebf64695eecd5ea42fbd8a359d9be3930e38988_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product071c9dfac962d37eb6d4c3bc2ee78dfeaa6f85f3_xxl-1.jpg"", ""role"": ""thumbnail""}]",399900.0,IDR,399900.0,IDR,Adult,Black/Wild Soul,no,1271804002,Clothing,"No dry clean,Machine wash at 40°,Medium iron,Only non-chlorine bleach when needed,Line dry,Do not iron on print",0.0,Black,"{""shell"":{""materials"":{""cotton"":""100.0""}},""rib"":{""materials"":{""cotton"":""95.0"",""elastane"":""5.0""}}}",Casual,Men,09a11c43ec034fc9a7b65210e9286f95f55d6356_xxl-1.jpg|81daeaa5e1427b1577ffbc2828f02f981eb2703e_xxl-1.jpg,,,Loose fit,no,2025-04-14 00:00:00,0ebf64695eecd5ea42fbd8a359d9be3930e38988_xxl-1.jpg|1505ebf6e0cf339fed9552fcc59f6eb634f511be_xxl-1.jpg|1c78f0cea777612162225bcd5165560786866314_xxl-1.jpg|2d49cf8d5f6627cccb2400af0425bfa45626c641_xxl-1.jpg|dfd02936f16b754f67e6cef8dfc10a89814d0c2d_xxl-1.jpg,yes,2025-04-14 00:00:00,,T-shirt,9999-12-31 00:00:00,#272627,no,T-shirt,0.0,0.0,071c9dfac962d37eb6d4c3bc2ee78dfeaa6f85f3_xxl-1.jpg,Crew-neck,1271804,Mainland China,Loose Fit Printed T-shirt,0.0,
1260179001,Baggy Denim shorts,//id.hm.com/id_en/baggy-denim-shorts-1260179001.html,2968408,2968408,True,5-pocket shorts in rigid cotton denim. Rounded leg and a baggy fit from the seat to the hem with plenty of room around the whole leg. Dropped crotch and a regular waist and a zip fly.,Baggy Denim shorts,"[{""url"": ""//id.hm.com/id_en/media/catalog/product2f26ea791c28456164c910dee640b05a5a455665_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product2f26ea791c28456164c910dee640b05a5a455665_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product70f64a7c12a0a8bf181b7e145d9115dd6ae51b84_xxl-1.jpg"", ""role"": ""thumbnail""}]",699900.0,IDR,699900.0,IDR,Adult,Dark denim grey,no,1260179001,Clothing,,0.0,Grey,"{""shell"":{""materials"":{""cotton"":""100.0""}},""pocketlining"":{""materials"":{""cotton"":""100.0""}}}",,Men,ba37acb963c455db45f697ca3518e34c35e67b5d_xxl-1.jpg,,,Loose fit,no,2025-03-19 00:00:00,2f26ea791c28456164c910dee640b05a5a455665_xxl-1.jpg|aa6cf6e14b2925a40cbdf568fb1d96fb9f88f722_xxl-1.jpg,yes,2025-03-19 00:00:00,Solid colour,Shorts,9999-12-31 00:00:00,#494A4F,no,Shorts,0.0,0.0,70f64a7c12a0a8bf181b7e145d9115dd6ae51b84_xxl-1.jpg,Baggy,1260179,Bangladesh,Baggy Denim shorts,0.0,
685816269,Regular Fit Round-neck T-shirt,//id.hm.com/id_en/regular-fit-round-neck-t-shirt-0685816269.html,3066301,3066301,True,"T-shirt in lightweight cotton jersey with a round, rib-trimmed neckline and a straight-cut hem. Regular fit for comfortable wear and a classic silhouette.",Regular Fit Round-neck T-shirt,"[{""url"": ""//id.hm.com/id_en/media/catalog/producteb226915981695b8b9875ba33d820a7dc9429c5e_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/producteb226915981695b8b9875ba33d820a7dc9429c5e_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product20faf5a88c83cad69cd50b45d69c4e9284f433a4_xxl-1.jpg"", ""role"": ""thumbnail""}]",99900.0,IDR,99900.0,IDR,Adult,Purple,no,685816269,Clothing,"Can be dry cleaned,Machine wash at 40°,High iron,Only non-chlorine bleach when needed,Line dry,Wash with similar colours",0.0,Purple,"{"""":{""materials"":{""cotton"":""100.0""}}}",,Men,9ba74db1ccafb4b1acdff2647a27f29621ef9a47_xxl-1.jpg,"Regular length,Short sleeve",Can be dry cleaned,Regular fit,no,2025-04-18 00:00:00,eb226915981695b8b9875ba33d820a7dc9429c5e_xxl-1.jpg|64a3892fe09402906dea7695c8acff1e2edd68f2_xxl-1.jpg|673ee9aa0056468bfe3fc520bc123ffa050b6efb_xxl-1.jpg|753ccf5d06eec93b34dd55b6eca6b2da1d124dee_xxl-1.jpg,yes,2025-04-18 00:00:00,Solid colour,T-shirt,9999-12-31 00:00:00,#9F99B3,no,T-shirt,0.0,0.0,20faf5a88c83cad69cd50b45d69c4e9284f433a4_xxl-1.jpg,Round neck,685816,Bangladesh,Regular Fit Round-neck T-shirt,0.0,
1224295019,Regular Fit Sweatshorts,//id.hm.com/id_en/regular-fit-sweatshorts-1224295019.html,3162210,3162210,True,"Shorts in lightweight sweatshirt fabric made from a cotton blend with an elasticated, drawstring waist, side pockets and an open back pocket. Regular fit for comfortable wear and a classic silhouette.",Regular Fit Sweatshorts,"[{""url"": ""//id.hm.com/id_en/media/catalog/productaef5ab7c60995a5dc0082c03ef3fbb7cdde57b70_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/productaef5ab7c60995a5dc0082c03ef3fbb7cdde57b70_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product5cd2038d54fccc9616ff3910e709eaaf8ffe2cb9_xxl-1.jpg"", ""role"": ""thumbnail""}]",199900.0,IDR,199900.0,IDR,Adult,Light blue,no,1224295019,Clothing,"Can be dry cleaned,Machine wash at 40°,Medium iron,Only non-chlorine bleach when needed,Tumble dry medium",0.0,Blue,"{""shell"":{""materials"":{""cotton"":""60.0"",""polyester"":""40.0""}},""pocketlining"":{""materials"":{""cotton"":""60.0"",""polyester"":""40.0""}}}",Casual,Men,d451513c8e8efaefbddbc42da9eb0c1c268184c9_xxl-1.jpg,Short,No dry clean,Regular fit,no,2025-05-15 00:00:00,aef5ab7c60995a5dc0082c03ef3fbb7cdde57b70_xxl-1.jpg|018e7fd9b9a49cfff7e60355f154d8dddef4b476_xxl-1.jpg|96e7eef7d69568f09768e2f5cdcc1066b933b021_xxl-1.jpg|bd001c93fba152670d551eee67ec3b65bb8c1ae6_xxl-1.jpg|cda7cf4f11a8215e3e12c64744ca1ef0615bae9e_xxl-1.jpg,yes,2025-05-15 00:00:00,Solid colour,Shorts,9999-12-31 00:00:00,#ADBED3,no,Shorts,0.0,0.0,5cd2038d54fccc9616ff3910e709eaaf8ffe2cb9_xxl-1.jpg,Sweatshorts,1224295,Bangladesh,Regular Fit Sweatshorts,0.0,
956343091,Slim Fit Polo shirt,//id.hm.com/id_en/slim-fit-polo-shirt-0956343091.html,3078791,3078791,True,"Polo shirt in lightweight cotton jersey with a collar, button placket, short sleeves and a straight-cut hem. Slim fit that hugs the contours of your body, creating a fitted silhouette.",Slim Fit Polo shirt,"[{""url"": ""//id.hm.com/id_en/media/catalog/product651770ce63c9e042fe5d467ddc401b3ebf19dd68_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product651770ce63c9e042fe5d467ddc401b3ebf19dd68_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product67544e9dc13b742169a161203c4e6cc5358fdaa0_xxl-1.jpg"", ""role"": ""thumbnail""}]",199900.0,IDR,199900.0,IDR,Adult,Yellow,no,956343091,Clothing,"Can be dry cleaned,Machine wash at 40°,Medium iron,Only non-chlorine bleach when needed,Line dry,Wash with similar colours",0.0,Yellow,"{"""":{""materials"":{""cotton"":""95.0"",""elastane"":""5.0""}}}",Casual,Men,f4e85159a68230424a0ef63cca88f5ecf4938fd4_xxl-1.jpg,"Regular length,Short sleeve",Can be dry cleaned,Slim fit,no,2025-04-25 00:00:00,651770ce63c9e042fe5d467ddc401b3ebf19dd68_xxl-1.jpg|2f4b2a52801ba32d9b58ea01fc49e6448cf1e23c_xxl-1.jpg|7060aaca8c879512afeeb396fe3f2143a0ee7b7c_xxl-1.jpg|e0cb920b52745d9055e08a36902a11bca256a201_xxl-1.jpg,yes,2025-04-25 00:00:00,Solid colour,T-shirt,9999-12-31 00:00:00,#E6C170,no,Polo shirt,0.0,0.0,67544e9dc13b742169a161203c4e6cc5358fdaa0_xxl-1.jpg,Polo shirt,956343,India,Slim Fit Polo shirt,0.0,
685816268,Regular Fit Round-neck T-shirt,//id.hm.com/id_en/regular-fit-round-neck-t-shirt-0685816268.html,3066300,3066300,True,"T-shirt in lightweight cotton jersey with a round, rib-trimmed neckline and a straight-cut hem. Regular fit for comfortable wear and a classic silhouette.",Regular Fit Round-neck T-shirt,"[{""url"": ""//id.hm.com/id_en/media/catalog/product40cc2784ed23b2066a30c7595ff8e3823130cf92_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product40cc2784ed23b2066a30c7595ff8e3823130cf92_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product26b4cce9851ea1625ce3500e3074543d6d443803_xxl-1.jpg"", ""role"": ""thumbnail""}]",99900.0,IDR,99900.0,IDR,Adult,Yellow,no,685816268,Clothing,"Can be dry cleaned,Machine wash at 40°,High iron,Only non-chlorine bleach when needed,Line dry,Wash with similar colours",0.0,Yellow,"{""shell"":{""materials"":{""cotton"":""100.0""}},""rib"":{""materials"":{""cotton"":""95.0"",""elastane"":""5.0""}}}",,Men,3431bc6b519503df9e91eb9373d9a39cf8135655_xxl-1.jpg,"Regular length,Short sleeve",Can be dry cleaned,Regular fit,no,2025-04-18 00:00:00,40cc2784ed23b2066a30c7595ff8e3823130cf92_xxl-1.jpg|0483879cd4bdefd6bea964b0ae166b37df06b8ac_xxl-1.jpg|6e38d1e98bbfc3ee6d5d8bde5366565bf91c3e9a_xxl-1.jpg,yes,2025-04-18 00:00:00,Solid colour,T-shirt,9999-12-31 00:00:00,#E6C170,no,T-shirt,0.0,0.0,26b4cce9851ea1625ce3500e3074543d6d443803_xxl-1.jpg,Round neck,685816,Bangladesh,Regular Fit Round-neck T-shirt,0.0,
1281072002,Loose Fit Textured-knit polo shirt,//id.hm.com/id_en/loose-fit-textured-knit-polo-shirt-1281072002.html,3297603,3297603,True,Short-sleeved polo shirt in a textured knit made from a cotton and nylon blend featuring a collar and a button placket with one button. Fine rib-knit trim around the cuffs and hem. Loose fit for a generous but not oversized silhouette.,Loose Fit Textured-knit polo shirt,"[{""url"": ""//id.hm.com/id_en/media/catalog/product72a79ead87e4cf27f3c99af78dcdead27a0eb842_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product72a79ead87e4cf27f3c99af78dcdead27a0eb842_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/producte3d5503eaaa3b5125942ee0c7d8a37788c54e140_xxl-1.jpg"", ""role"": ""thumbnail""}]",599900.0,IDR,599900.0,IDR,Adult,Turquoise,no,1281072002,Clothing,"Can be dry cleaned,Machine wash at 40°,Low iron,Only non-chlorine bleach when needed,Line dry",0.0,Turquoise,"{"""":{""materials"":{""cotton"":""79.0"",""polyamide"":""21.0""}}}",Casual,Men,3cb176b4db9cf0a86a4468504ce2db5dc7f8dfc4_xxl-1.jpg|78e6ce61670ec36c0711472338b73ee2fe988155_xxl-1.jpg,,,Loose fit,no,2025-04-07 00:00:00,72a79ead87e4cf27f3c99af78dcdead27a0eb842_xxl-1.jpg|6766768bdefe8edf63df2ba1cb9352469cb13c82_xxl-1.jpg|6e46b4ca250ef515c6ea111161c90cd03349251e_xxl-1.jpg|ebfa068df9e7088ee15563737d6fc9c0c472adfa_xxl-1.jpg|c02e147aca1b429ad0b9556cb0937fce7ca8a776_xxl-1.jpg,yes,2025-04-07 00:00:00,Solid colour,T-shirt,9999-12-31 00:00:00,#738080,no,Polo shirt,0.0,0.0,1d41ccf9c3bcc3d877c7e8c7158615d2b5e9e281_xxl-1.jpg|e3d5503eaaa3b5125942ee0c7d8a37788c54e140_xxl-1.jpg,Polo shirt,1281072,Mainland China,Loose Fit Textured-knit polo shirt,0.0,
1271780002,Loose Fit Textured resort shirt,//id.hm.com/id_en/loose-fit-textured-resort-shirt-1271780002.html,3297564,3297564,True,"Short-sleeved shirt in a textured weave with a resort collar, French front, yoke at the back, chest pocket and a double-layered, straight-cut hem. Loose fit for a generous but not oversized silhouette.",Loose Fit Textured resort shirt,"[{""url"": ""//id.hm.com/id_en/media/catalog/productada678e7a099c885ee8c4396340b92d8890c0bea_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/productada678e7a099c885ee8c4396340b92d8890c0bea_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product43923dff27a35ff76030975045dd9aa8dd383264_xxl-1.jpg"", ""role"": ""thumbnail""}]",489900.0,IDR,489900.0,IDR,Adult,Navy blue,no,1271780002,Clothing,,0.0,Blue,"{"""":{""materials"":{""polyester"":""100.0""}}}",,Men,1d571594310e6f6952fa2fd57cb2a4853e018670_xxl-1.jpg|4c679ecd81a210cd40c7e954763ce5ab08782ce8_xxl-1.jpg,,,Loose fit,no,2025-04-07 00:00:00,ada678e7a099c885ee8c4396340b92d8890c0bea_xxl-1.jpg|4b53d32415dd7ac9b90fbf3541d64d5d8467dd11_xxl-1.jpg|9bfa0d7472a5d4faa31648f194f1ba2bf2fcdc26_xxl-1.jpg|e4e122af621f1bebfa3ce2b8d82d936dc639ea5e_xxl-1.jpg,yes,2025-04-07 00:00:00,Solid colour,Shirt,9999-12-31 00:00:00,#29272B,no,Shirt,0.0,0.0,43923dff27a35ff76030975045dd9aa8dd383264_xxl-1.jpg,Resort collar,1271780,Mainland China,Loose Fit Textured resort shirt,0.0,
