sku,name,canonical_url,product_id,uid,in_stock,description_html,short_description_html,all_image_data,final_price_value,final_price_currency,regular_price_value,regular_price_currency,discount_percent_off,discount_amount_off,agegroup,article_description,article_simple,articlenumber,assortmenttype,barcodes,careinstruction,colection,color,color_description,color_name,composition,concept,context,customergroup,descriptive_detail,descriptivelength,designercollection,drycleaninstruction,environment,fast_selling,feature,fit,fragrancedescription,function,heel_height,is_voucher,launch_date,licensecompany,licenseitem,lookbook_random,measurementin_cm,member_price,neckline,newarrivals,occasion,online_date,pattern,presentationcolorgroup,presentationproductgroup,presentationproducttype,product_safety_warning,promotion_label,quality,retire_date,rgb,sale,shop_the_set,short_product_name,size,sleeve_length,sleeve_style,stilllife_random,style,stylenumber,supplier_information,textual_print,title_name,trending,visual_description,waist_rise,washinginstruction,weight,family_json,featured,accessory_style,benefit,brand,close,collar,colour,concern,coverage,finish,footwear_style,form,fragrance_family,fragrance_name,hair_type,key_ingredient,length,material,model,primary_simple,skin_tone,skin_type,special_occasions,subordinate_articles,trademark,voucher_type
1146165010,Long-sleeved bodysuit,//id.hm.com/id_en/long-sleeved-bodysuit-1146165010.html,198417,198417,True,Long-sleeved bodysuit in supersoft cotton jersey with a concealed press-stud on one shoulder. Press-studs at the crotch and gathered seams around the legs for a more comfortable and snug fit around the nappy.,Long-sleeved bodysuit,"[{""url"": ""//id.hm.com/id_en/media/catalog/product0df058743e3ae2d8421c9f66a860677f04c92e04_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product0df058743e3ae2d8421c9f66a860677f04c92e04_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product0df058743e3ae2d8421c9f66a860677f04c92e04_xxl-1.jpg"", ""role"": ""thumbnail""}]",99900.0,IDR,99900.0,IDR,,,Baby,Light beige/Dinosaurs,no,1146165010,Clothing,,"No dry clean,Machine wash at 40°,High iron,Only non-chlorine bleach when needed,Tumble dry medium",,0,Beige,,,,,Infants,f210e609e7e0c21a1c3c109ad6981b5609c0c163_xxl-1.jpg|6fef5d9ddfa2fa0bff1f534e117891689d2c8831_xxl-1.jpg,Long sleeve,,No dry clean,,0,Supersoft,,,,,no,2023-07-17 00:00:00,,,,,69930.000000,Round neck,no,,2023-07-17 00:00:00,Patterned,Beige,,Bodysuit,,,,2099-12-31 00:00:00,#E1DCC6,no,,Bodysuit,0,Long sleeve,0,,Round neck,1146165,,,Long-sleeved bodysuit,Print,Dinosaurs,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0880118048,5-pack long-sleeved bodysuits,//id.hm.com/id_en/5-pack-long-sleeved-bodysuits-0880118048.html,1176294,1176294,True,Long-sleeved bodysuits in soft cotton jersey with lapped shoulders and press-studs at the crotch.,5-pack long-sleeved bodysuits,"[{""url"": ""//id.hm.com/id_en/media/catalog/product93655965d3a255ccde618d0e7d99b6421af0466c_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product93655965d3a255ccde618d0e7d99b6421af0466c_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product93655965d3a255ccde618d0e7d99b6421af0466c_xxl-1.jpg"", ""role"": ""thumbnail""}]",429900.0,IDR,429900.0,IDR,,,"Baby,Newborn",Dark purple/Bunnies,no,0880118048,Clothing,,"No dry clean,Machine wash at 40°,Medium iron,Only non-chlorine bleach when needed,Line dry",,0,Purple,,,BASICS,,Infants,68f6c741a0bb87a0262a5a0699f7cc6fa69d249e_xxl-1.jpg|85328d110e5888f4b1359c44eca1d955ba01e49b_xxl-1.jpg,Long sleeve,,,Conscious,0,,,,,,no,2023-11-09 00:00:00,,,,,300930.000000,Envelope neck,no,,2023-11-09 00:00:00,Patterned,Purple,,Bodysuit,,,,2099-12-31 00:00:00,#735F69,yes,,5-pack bodysuits,0,Long sleeve,0,,Envelope neck,0880118,,,5-pack long-sleeved bodysuits,Print,Bunnies,,Machine wash at 40°,0.0,"{""78879"":{""sku"":""0880118031"",""id"":""78879"",""url_key"":""5-pack-long-sleeved-bodysuits"",""rgb"":""#767E7D"",""small_image"":""6060e2937b5a685317904be296af45ea063eda59_xxl-1.jpg"",""thumbnail"":""6060e2937b5a685317904be296af45ea063eda59_xxl-1.jpg""},""78885"":{""sku"":""0880118034"",""id"":""78885"",""url_key"":""5-pack-long-sleeved-bodysuits"",""rgb"":""#DAD6D3"",""small_image"":""cd7cf4b2ea0a17c604b94323199855850205eb6e_xxl-1.jpg"",""thumbnail"":""cd7cf4b2ea0a17c604b94323199855850205eb6e_xxl-1.jpg""},""79188"":{""sku"":""0880118035"",""id"":""79188"",""url_key"":""5-pack-long-sleeved-bodysuits"",""rgb"":""#666279"",""small_image"":""556b69438213cafd3a1f21b9fd9827bb05c6ac8d_xxl-1.jpg"",""thumbnail"":""556b69438213cafd3a1f21b9fd9827bb05c6ac8d_xxl-1.jpg""},""79191"":{""sku"":""0880118044"",""id"":""79191"",""url_key"":""5-pack-long-sleeved-bodysuits"",""rgb"":""#995D6C"",""small_image"":""42625c1e39be2bd3e673675602bc80ea9e7f4f85_xxl-1.jpg"",""thumbnail"":""42625c1e39be2bd3e673675602bc80ea9e7f4f85_xxl-1.jpg""},""79197"":{""sku"":""0880118046"",""id"":""79197"",""url_key"":""5-pack-long-sleeved-bodysuits"",""rgb"":""#88948C"",""small_image"":""f1946584ba8ccc773d45bdf15c4b4590c9153aa8_xxl-1.jpg"",""thumbnail"":""f1946584ba8ccc773d45bdf15c4b4590c9153aa8_xxl-1.jpg""},""79200"":{""sku"":""0880118047"",""id"":""79200"",""url_key"":""5-pack-long-sleeved-bodysuits"",""rgb"":""#AAAAAA"",""small_image"":""e46fa5274d4d396edca332ab32e43c4dbd35bae8_xxl-1.jpg"",""thumbnail"":""e46fa5274d4d396edca332ab32e43c4dbd35bae8_xxl-1.jpg""},""372522"":{""sku"":""0880118033"",""id"":""372522"",""url_key"":""5-pack-long-sleeved-bodysuits-0880118033"",""rgb"":""#8E5F43"",""small_image"":""01f24d08291c361938a40a09bd2a66b9094177a1_xxl-1.jpg"",""thumbnail"":""01f24d08291c361938a40a09bd2a66b9094177a1_xxl-1.jpg""},""1176294"":{""sku"":""0880118048"",""id"":""1176294"",""url_key"":""5-pack-long-sleeved-bodysuits-0880118048"",""rgb"":""#735F69"",""small_image"":""93655965d3a255ccde618d0e7d99b6421af0466c_xxl-1.jpg"",""thumbnail"":""93655965d3a255ccde618d0e7d99b6421af0466c_xxl-1.jpg""}}",,,,,,,,,,,,,,,,,,,,,,,,,,
1146165016,Long-sleeved bodysuit,//id.hm.com/id_en/long-sleeved-bodysuit-1146165016.html,754098,754098,True,Long-sleeved bodysuit in supersoft cotton jersey with a concealed press-stud on one shoulder. Press-studs at the crotch and gathered seams around the legs for a more comfortable and snug fit around the nappy.,Long-sleeved bodysuit,"[{""url"": ""//id.hm.com/id_en/media/catalog/product949954839fc76716d64a616673f051dd28138f3c_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product949954839fc76716d64a616673f051dd28138f3c_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product949954839fc76716d64a616673f051dd28138f3c_xxl-1.jpg"", ""role"": ""thumbnail""}]",99900.0,IDR,99900.0,IDR,,,Baby,Brown/Animals,no,1146165016,Clothing,,"No dry clean,Machine wash at 40°,High iron,Only non-chlorine bleach when needed,Tumble dry medium",,0,Brown,,,,,Infants,63bac2370f988883bf9fbb64fb9f7001b4d5542b_xxl-1.jpg|aacb973bfbf9d60d3475ddc02f503a5dc74b7ec0_xxl-1.jpg,Long sleeve,,No dry clean,,1,Supersoft,,,,,no,2023-08-28 00:00:00,,,,,69930.000000,Round neck,no,,2023-08-28 00:00:00,Patterned,Brown,,Bodysuit,,,,2099-12-31 00:00:00,#886F5B,no,,Bodysuit,0,Long sleeve,0,,Round neck,1146165,,,Long-sleeved bodysuit,Print,Animals,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229171006,Printed jersey top,//id.hm.com/id_en/printed-jersey-top-1229171006.html,2251365,2251365,True,"Short-sleeved top in soft, printed cotton jersey. Round neckline, keyhole opening with a button at the back and a gathered seam on the shoulders.",Printed jersey top,"[{""url"": ""//id.hm.com/id_en/media/catalog/product9d84d36afe3d3310d5ae8ffb5fc6d2bd179f4e78_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product9d84d36afe3d3310d5ae8ffb5fc6d2bd179f4e78_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product9d84d36afe3d3310d5ae8ffb5fc6d2bd179f4e78_xxl-1.jpg"", ""role"": ""thumbnail""}]",99900.0,IDR,99900.0,IDR,,,Baby,White/Flowers,no,1229171006,Clothing,,"No dry clean,Machine wash at 40°,High iron,Only non-chlorine bleach when needed,Tumble dry medium,Do not iron on print",,0,White,,"{"""":{""materials"":{""cotton"":""100.0""}}}",,,Girl,cff3929eb1f75e1599e301d09566f4a846e9a196_xxl-1.jpg,,,No dry clean,,0,,Regular fit,,,,no,2024-05-27 00:00:00,,,9d84d36afe3d3310d5ae8ffb5fc6d2bd179f4e78_xxl-1.jpg,,,Round neck,no,,2024-05-27 00:00:00,,White,,Top,,,,9999-12-31 00:00:00,#ECE9E2,no,,Top,0,Short sleeve,0,9d84d36afe3d3310d5ae8ffb5fc6d2bd179f4e78_xxl-1.jpg,Keyhole cutout,1229171,Indonesia,,Printed jersey top,Floral,Flowers,,,0.0,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
1146165020,Long-sleeved bodysuit,//id.hm.com/id_en/long-sleeved-bodysuit-1146165020.html,198423,198423,True,Long-sleeved bodysuit in supersoft cotton jersey with a concealed press-stud on one shoulder. Press-studs at the crotch and gathered seams around the legs for a more comfortable and snug fit around the nappy.,Long-sleeved bodysuit,"[{""url"": ""//id.hm.com/id_en/media/catalog/product967dd63a123b1e4bf30983a4e54f83e5e0bc42a8_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product967dd63a123b1e4bf30983a4e54f83e5e0bc42a8_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product967dd63a123b1e4bf30983a4e54f83e5e0bc42a8_xxl-1.jpg"", ""role"": ""thumbnail""}]",99900.0,IDR,99900.0,IDR,,,Baby,Light beige/Animals,no,1146165020,Clothing,,"No dry clean,Machine wash at 40°,High iron,Only non-chlorine bleach when needed,Tumble dry medium",,0,Beige,,,,,Infants,cb3703b1e19f5eb0ebd27b2c055ea4ef58640105_xxl-1.jpg|5b3b22a7fa145cc26b34cee4f913b397562b0369_xxl-1.jpg,Long sleeve,,No dry clean,,1,Supersoft,,,,,no,2023-10-16 00:00:00,,,,,69930.000000,Round neck,no,,2023-10-16 00:00:00,Patterned,Beige,,Bodysuit,,,,2099-12-31 00:00:00,#DFD7CA,no,,Bodysuit,0,Long sleeve,0,,Round neck,1146165,,,Long-sleeved bodysuit,,"Giraffes, birds, leopards",,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146165017,Long-sleeved bodysuit,//id.hm.com/id_en/long-sleeved-bodysuit-1146165017.html,523290,523290,True,Long-sleeved bodysuit in supersoft cotton jersey with a concealed press-stud on one shoulder. Press-studs at the crotch and gathered seams around the legs for a more comfortable and snug fit around the nappy.,Long-sleeved bodysuit,"[{""url"": ""//id.hm.com/id_en/media/catalog/product04b47834ce396438b7e91c7ca6ea4077998d5f8e_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product04b47834ce396438b7e91c7ca6ea4077998d5f8e_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product04b47834ce396438b7e91c7ca6ea4077998d5f8e_xxl-1.jpg"", ""role"": ""thumbnail""}]",99900.0,IDR,99900.0,IDR,,,Baby,Dark turquoise/Floral,no,1146165017,Clothing,,"No dry clean,Machine wash at 40°,High iron,Only non-chlorine bleach when needed,Tumble dry medium",,0,Blue,,,,,Infants,96f2d5ed625cb03d82d631676784deca103cc6d2_xxl-1.jpg|1d715438855db84138b4bdd2b9f545631f3bc97d_xxl-1.jpg,Long sleeve,,No dry clean,,,Supersoft,,,,,no,2023-09-09 00:00:00,,,,,69930.000000,Round neck,no,,2023-09-09 00:00:00,Floral,Blue,,Bodysuit,,,,2099-12-31 00:00:00,#3D5B60,no,,Bodysuit,0,Long sleeve,0,,Round neck,1146165,,,Long-sleeved bodysuit,Print,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171574022,2-pack long-sleeved bodysuits,//id.hm.com/id_en/2-pack-long-sleeved-bodysuits-1171574022.html,2773644,2773644,True,Long-sleeved bodysuits in supersoft cotton jersey with a concealed press-stud on one shoulder. Press-studs at the crotch and gathered seams around the legs for a more comfortable and snug fit around the nappy.,2-pack long-sleeved bodysuits,"[{""url"": ""//id.hm.com/id_en/media/catalog/product14a4540c9b38bd572577c191c111dda0cee8edd9_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product14a4540c9b38bd572577c191c111dda0cee8edd9_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product14a4540c9b38bd572577c191c111dda0cee8edd9_xxl-1.jpg"", ""role"": ""thumbnail""}]",229900.0,IDR,229900.0,IDR,,,"Baby,Newborn",Light pink/Hearts,no,1171574022,Clothing,,"No dry clean,Machine wash at 40°,Medium iron,Only non-chlorine bleach when needed,Line dry",,0,Pink,,"{"""":{""materials"":{""cotton"":""100.0""}}}",BASICS,,Infants,19cd888bc9973808aec3b5ecdcb33b2c85ca965a_xxl-1.jpg,Long sleeve,,No dry clean,,,Supersoft,,,,,no,2024-12-30 00:00:00,,,14a4540c9b38bd572577c191c111dda0cee8edd9_xxl-1.jpg,,,Round neck,no,,2024-12-30 00:00:00,Patterned,,,Bodysuit,KEEP AWAY FROM FIRE Caution! Small parts can be swallowed if dropped Caution! Small parts can be swallowed if dropped.,,,9999-12-31 00:00:00,#C7A098,no,,2-pack bodysuits,0,Long sleeve,0,14a4540c9b38bd572577c191c111dda0cee8edd9_xxl-1.jpg,Round neck,1171574,Bangladesh,,2-pack long-sleeved bodysuits,,Hearts,,,0.0,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
1146165008,Long-sleeved bodysuit,//id.hm.com/id_en/long-sleeved-bodysuit-1146165008.html,1031808,1031808,True,Long-sleeved bodysuit in supersoft cotton jersey with a concealed press-stud on one shoulder. Press-studs at the crotch and gathered seams around the legs for a more comfortable and snug fit around the nappy.,Long-sleeved bodysuit,"[{""url"": ""//id.hm.com/id_en/media/catalog/productd56dc20379ffb783a931a20803e4db0650460df1_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/productd56dc20379ffb783a931a20803e4db0650460df1_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/productd56dc20379ffb783a931a20803e4db0650460df1_xxl-1.jpg"", ""role"": ""thumbnail""}]",99900.0,IDR,99900.0,IDR,,,Baby,Cream/Floral,no,1146165008,Clothing,,"No dry clean,Machine wash at 40°,High iron,Only non-chlorine bleach when needed,Tumble dry medium",,0,Multi,,,,,Infants,f8e5113e49096e6f1449a2fda7b82902b1eedd77_xxl-1.jpg|47fb5d8fd42f4263e3a69eb3978dd90cc1071727_xxl-1.jpg,Long sleeve,,No dry clean,,0,Supersoft,,,,,no,2024-12-18 00:00:00,,,,,69930.000000,Round neck,no,,2024-05-01 00:00:00,Floral,Multi,,Bodysuit,,,,2099-12-31 00:00:00,#EEEDE4,no,,Bodysuit,0,Long sleeve,0,,Round neck,1146165,,,Long-sleeved bodysuit,"['Floral', 'Print']",,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146165011,Long-sleeved bodysuit,//id.hm.com/id_en/long-sleeved-bodysuit-1146165011.html,198420,198420,True,Long-sleeved bodysuit in supersoft cotton jersey with a concealed press-stud on one shoulder. Press-studs at the crotch and gathered seams around the legs for a more comfortable and snug fit around the nappy.,Long-sleeved bodysuit,"[{""url"": ""//id.hm.com/id_en/media/catalog/productbfe5890abd0568343d21d45fa42eb0014dca82e8_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/productbfe5890abd0568343d21d45fa42eb0014dca82e8_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/productbfe5890abd0568343d21d45fa42eb0014dca82e8_xxl-1.jpg"", ""role"": ""thumbnail""}]",99900.0,IDR,99900.0,IDR,,,Baby,Beige/Animals,no,1146165011,Clothing,,"No dry clean,Machine wash at 40°,High iron,Only non-chlorine bleach when needed,Tumble dry medium",,0,Beige,,,,,Infants,6a2555d280870a3062cf670883b2745b1cd53a75_xxl-1.jpg|3367ab3730ec51568e61c453b3d2c3887e7e01bb_xxl-1.jpg,Long sleeve,,No dry clean,,,Supersoft,,,,,no,2023-07-17 00:00:00,,,,,69930.000000,Round neck,no,,2023-07-17 00:00:00,Patterned,Beige,,Bodysuit,,,,2099-12-31 00:00:00,#BDB8AD,no,,Bodysuit,0,Long sleeve,0,,Round neck,1146165,,,Long-sleeved bodysuit,Print,Animals,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238096001,Crew-neck sweatshirt,//id.hm.com/id_en/crew-neck-sweatshirt-1238096001.html,2313088,2313088,True,"Crew-neck sweatshirt with a soft brushed inside and motif details. Round, rib-trimmed neckline, a press-stud on one shoulder (except in sizes 2-4Y) and ribbing at the cuffs and hem.",Crew-neck sweatshirt,"[{""url"": ""//id.hm.com/id_en/media/catalog/product21fbc542f5bba31c1f47923f38ee0dc3058087b2_xxl-1.jpg"", ""role"": ""main_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product21fbc542f5bba31c1f47923f38ee0dc3058087b2_xxl-1.jpg"", ""role"": ""small_image""}, {""url"": ""//id.hm.com/id_en/media/catalog/product5f680a77e966cd66aafa19fd3048a6798954261e_xxl-1.jpg"", ""role"": ""thumbnail""}]",229900.0,IDR,229900.0,IDR,,,Baby,Light grey marl/Mickey Mouse,no,1238096001,Clothing,,"No dry clean,Machine wash at 40°,Medium iron,Only non-chlorine bleach when needed,Tumble dry medium,Do not iron on print",,0,Grey,,"{"""":{""materials"":{""cotton"":""80.0"",""polyester"":""20.0""}}}",,,"['Boy', 'Girl']",59c3073615fdb8c5f4c8d53beaf46817ed1d2412_xxl-1.jpg,,,No dry clean,,,,Regular fit,,,,no,2024-06-20 00:00:00,,,62ed5be8b030b30be18664d32051d8ff223670ad_xxl-1.jpg|21fbc542f5bba31c1f47923f38ee0dc3058087b2_xxl-1.jpg|a0e37109df80d0dc80e1ccea7268ef3986e2ba13_xxl-1.jpg,,,Crew-neck,no,,2024-06-20 00:00:00,,Grey,,Sweatshirt,KEEP AWAY FROM FIRE Caution! Small parts can be swallowed if dropped Caution! Small parts can be swallowed if dropped.,,,9999-12-31 00:00:00,#AAAAAA,yes,,Sweatshirt,0,Long sleeve,0,5f680a77e966cd66aafa19fd3048a6798954261e_xxl-1.jpg,Crew-neck,1238096,Vietnam,Mickey Mouse,Crew-neck sweatshirt,Embroidered,Mickey Mouse,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
